"rank","country","imfGDP","unGDP","gdpPerCapita","pop"
"140","Namibia","10619000000","10947277246","4136.7162","2567.0120"
"141","Rwanda","10332000000","8473784827","749.9620","13776.6980"
"142","Republic of the Congo","10329000000","7778081883","1730.0279","5970.4240"
"143","Equatorial Guinea","10022000000","10677940568","5983.6122","1674.9080"
"144","Bahamas","9908000000","11261800000","24166.7968","409.9840"
"145","Tajikistan","8134000000","6951679338","817.2585","9952.7870"
"146","Mauritania","8110000000.0000","4667119320","1712.3653","4736.1390"
"147","Kyrgyzstan","7792000000","6551291140","1175.1535","6630.6230"
"148","Togo","7586000000","4449262345","857.3012","8848.6990"
"149","Somalia","6965000000","1318057519","395.7946","17597.5110"
"150","South Sudan","6710000000","6534451826","614.8538","10913.1640"
"151","Guyana","5471000000","3436626633","6764.9612","808.7260"
"152","Montenegro","4777000000","4373958354","7617.8235","627.0820"
"153","Barbados","4677000000","4552793288","16606.6007","281.6350"
"154","Fiji","4574000000","4671118364","4919.5174","929.7660"
"155","Sierra Leone","4059000000","3674756785","471.6631","8605.7180"
"156","Eswatini","3974000000","4007002048","3307.0643","1201.6700"
"157","Maldives","3736000000","4224207488","7132.6703","523.7870"
"158","Djibouti","3410000000","1891520369","3042.3367","1120.8490"
"159","Burundi","3086000000","2873699606","239.4183","12889.5760"
"160","Liberia","3037000000","2756817825","572.7292","5302.6810"
"161","Andorra","2885000000","2858406626","36142.0124","79.8240"
"162","Suriname","2884000000","3278445033","4666.3646","618.0400"
"163","Aruba","2497000000","2667039106","23458.1239","106.4450"
"164","Bhutan","2416000000","2212642587","3087.7175","782.4550"
"165","Central African Republic","2388000000","1810388740","428.0227","5579.1440"
"166","Eritrea","2083000000.0000","5413804303","565.4131","3684.0320"
"167","Lesotho","2061000000","2241017076","893.8233","2305.8250"
"168","Timor-Leste","1902000000","2703285752","1418.0315","1341.2960"
"169","Gambia","1828000000","985831536","675.5378","2705.9920"
"170","Cape Verde","1707000000","1638928099","2877.8604","593.1490"
"171","Saint Lucia","1617000000","1397066906","8990.4758","179.8570"
"172","Belize","1586000000","1741100000","3913.4211","405.2720"
"173","Solomon Islands","1546000000","1133967215","2134.5542","724.2730"
"174","San Marino","1543000000","1590761265","45840.7605","33.6600"
"175","Guinea-Bissau","1475000000","1122643236","700.5242","2105.5660"
"176","Antigua and Barbuda","1370000000","1460157909","14611.3072","93.7630"
"177","Comoros","1218000000","1149802573","1455.5902","836.7740"
"178","Seychelles","1202000000","1433826317","11221.2700","107.1180"
"179","Grenada","1043000000.0000","1016208148","8314.8647","125.4380"
"180","Vanuatu","994000000","837519790","3042.1742","326.7400"
"181","Saint Kitts and Nevis","981000000","909854620","20584.5941","47.6570"
"182","Saint Vincent and the Grenadines","872000000","765318745","8388.8098","103.9480"
"183","Samoa","807000000","822233281","3628.8908","222.3820"
"184","Dominica","544000000","581484032","7478.9997","72.7370"
"185","Tonga","494000000","401460313","4622.9576","106.8580"
"186","Sao Tome and Principe","477000000","342781695","2097.8098","227.3800"
"187","Micronesia","412000000","329895643","3608.8434","114.1640"
"188","Palau","258000000","310248000","14289.6705","18.0550"
"189","Marshall Islands","244000000","183000000","5869.7587","41.5690"
"190","Kiribati","182000000","173655146","1386.8569","131.2320"
